Date,Brand A,Brand B,Brand C,Brand D,Brand E
13-03-20,12405.24,46317.09,196078.81,5608.88,94530.29
14-03-20,12355.06,47397.83,200334.99,5649.2,96472.56
15-03-20,12500.6,48472.26,202268.51,5628.8,95763.82
16-03-20,12639.81,47815.69,204354.47,5590.32,95310.93
17-03-20,12931.47,48475.8,210436.67,5591.44,96792.27
18-03-20,13148.45,48562.05,214481.14,5536.56,97050.72
19-03-20,13478.72,47785.66,219218.9,5655.68,97079.21
20-03-20,13471.38,48452.18,216404.8,5568.07,99060.31
21-03-20,13715.76,49813.43,212270.8,5463.83,100579.45
22-03-20,13468.25,49360.72,212206.6,5358.41,100014.54
23-03-20,13688.7,49947.3,215113.94,5382.11,100219.5
24-03-20,13614.81,51384.05,213087.29,5424.7,102247.34
25-03-20,13371.04,52819.67,212676.18,5515.07,104424.35
26-03-20,13442.11,54294.72,212901.83,5547.33,104412.2
27-03-20,13787.77,53708.97,218710.52,5609.5,105504.03
28-03-20,14146.31,53689.14,214546.42,5561.9,105811.99
29-03-20,14017.96,54302.92,215781.21,5626.23,105802.93
30-03-20,14012.58,55342.54,221008.46,5710.46,104146.07
31-03-20,13998.7,55463.35,227552.28,5657.8,104690.56
01-04-20,14331.77,56935.83,226041.43,5732.41,103932.73
02-04-20,14592.46,55988.38,224325.6,5654.73,102203.85
03-04-20,14910.44,55291.61,221358.57,5692.1,102293.77
04-04-20,14808.08,54193.46,218058.81,5626.18,103593.94
05-04-20,14728.37,54586.75,214889.03,5584.33,103179.94
06-04-20,15157.17,54317.99,218617.64,5564.86,102429.43
07-04-20,15312.5,54089.22,219205.6,5454.44,101507.97
08-04-20,15502.39,54052.28,222388.72,5437.79,103631.23
09-04-20,15607.46,53116.54,221218.73,5556.59,104506.27
10-04-20,15877.81,52223.3,226374.73,5653.41,103434.12
11-04-20,16127.07,52100.73,233060.3,5592.37,104940.39
12-04-20,15849.77,51538.58,238726.4,5710.88,104246.43
13-04-20,15922.44,50922.88,236059.41,5722.95,106042.27
14-04-20,16136.65,50759.96,232285.85,5639.86,105475.38
15-04-20,15882.69,50400.92,232554.95,5646.03,106316.44
16-04-20,15670.48,51754.27,236524.09,5688.2,106595.65
17-04-20,16095.11,51264.02,233750.23,5631.48,106849.39
18-04-20,16107.56,50394.02,236605.69,5598.25,105746.66
19-04-20,16583.03,51126.43,239703.09,5717.99,105973.74
20-04-20,17071.71,51547.37,245241.34,5660.18,104210.9
21-04-20,17053.04,51394.32,246291.07,5610.8,103211.09
22-04-20,17370.18,51199.58,253494.4,5509.35,104872.58
23-04-20,17459.66,50667.96,255277.78,5439.88,106333.77
24-04-20,17485.05,51338.11,255182.58,5386.69,104477.21
25-04-20,17655.69,51912.84,257961.46,5345.4,104705.01
26-04-20,17840.27,53146.54,255419.14,5405.15,104888.37
27-04-20,18012.82,52301.33,260003.63,5438.3,103926.64
28-04-20,17750.86,53711.75,259178.15,5420.57,103083.78
29-04-20,17971.1,52966.86,255096.59,5390.17,103863.06
30-04-20,18406.43,52115.98,256892.15,5306.5,103508.33
01-05-20,18165.63,51830.58,260820.94,5406.24,105180.45
02-05-20,17912.57,52051.75,266242.3,5507.65,106839.76
03-05-20,17759.34,53576.1,261038.84,5412.07,104801.99
04-05-20,17450.73,54912.96,260866.87,5325.79,106759.54
05-05-20,17229.46,56451.32,257586.19,5238.09,106387.85
06-05-20,17739.66,57325.92,264395.37,5160.65,106222.53
07-05-20,17834.7,56472.14,269776.22,5246.76,108129.22
08-05-20,18071.08,55629.19,276298.95,5167.05,108990.34
09-05-20,17943.94,54919.52,276145.83,5069.12,110968.69
10-05-20,17676.24,54317.84,277540.26,5084.74,113309.76
11-05-20,17739.25,54845.1,284034.16,5015.28,113100.04
12-05-20,18050.95,54037.39,279763.41,4920.6,113719.53
13-05-20,18113.54,53927.02,280147.95,4876.5,116060.46
14-05-20,18282.91,53973.78,288505.69,4786.16,117663.78
15-05-20,18737.72,54817.08,296709.88,4837.3,116857.33
16-05-20,18642.36,53839.32,294442.98,4804.61,114918.11
17-05-20,18580.21,53889.15,291701.21,4715.15,115101.63
18-05-20,18580.37,55103.43,293009.09,4641.01,113355.99
19-05-20,18406.21,55855.16,292642.83,4565.16,112268.08
20-05-20,18552.22,55856.8,300718.02,4475.32,112512.33
21-05-20,19024.44,57028.1,304126.5,4447.71,114079.72
22-05-20,19424.17,56203.11,312447.7,4393.76,112249.65
23-05-20,19687.48,57290.98,318889.42,4440.75,110826.16
24-05-20,19571.73,58349.07,320021.2,4414.05,111802.07
25-05-20,19389.62,57616.19,328904.66,4421.9,113991.29
26-05-20,19916.81,56749.18,325987.62,4507.01,113876.86
27-05-20,19779.76,55760.71,321101.52,4452.22,114074.66
28-05-20,20183.98,55419.35,323314.67,4381.63,115683.88
29-05-20,20761.15,55426.26,323171.84,4363.71,115187.9
30-05-20,20675.22,54645.2,329734,4306.33,113326.3
31-05-20,20469.06,54561.46,330949.5,4226.24,111487.17
01-06-20,21072.77,53470.78,329163.53,4214.26,112191.02
02-06-20,21003.04,53121.49,333486.1,4252.27,111279.23
03-06-20,21093.63,52622.27,338700.2,4299.3,113542
04-06-20,21647.53,52706.88,342985.67,4381.44,114347.09
05-06-20,21230.12,52933.55,344620.78,4376.38,114608.24
06-06-20,21414.25,54348.36,354777.45,4317.2,113978.38
07-06-20,21165.27,54684.02,352030.4,4312.21,112808.8
08-06-20,20752.89,53692.85,357547.28,4312.3,112688.37
09-06-20,21147.72,53979.23,354604.99,4303.96,111893.61
10-06-20,21666.41,54825.32,349656.38,4376.68,112227.6
11-06-20,22249.51,55527.32,353966.06,4390.44,112355.49
12-06-20,22828.06,55005.31,350564.22,4417.57,114229.79
13-06-20,23489.29,55301.25,353389.83,4339.67,112751.57
14-06-20,23764.63,54600.68,355391.28,4339.68,110903.05
15-06-20,23294.55,54570.71,352745.35,4282.81,111464.68
16-06-20,23524.97,55971.3,360997.38,4234.27,111379.36
17-06-20,23639,56218.1,354980.56,4242.28,110294.22
18-06-20,23195.92,55848.66,354169.86,4311.55,112652.13
19-06-20,23151.83,57280.41,363878.35,4274.56,114650.06
20-06-20,22748.71,56830.86,357568.17,4235.68,114023.15
21-06-20,23259.44,57007.13,354242.23,4277.29,115912.63
22-06-20,23843.28,57185.49,354056.27,4366.07,116998.26
23-06-20,24043.57,56112.8,350410.28,4352.31,116738.23
24-06-20,24381.65,56413.78,354604.65,4358.79,118843.1
25-06-20,24635.2,57611,352613.61,4325.31,117610.39
26-06-20,25051.06,58395.69,356162.89,4395.4,119613.48
27-06-20,25284.19,58724.84,359668.56,4429.31,117695.03
28-06-20,25668.59,57729.81,365432.34,4395.76,118827.5
29-06-20,25375.35,59309.98,362960.82,4365.5,120161.81
30-06-20,25279.83,59227.36,362293.73,4287.9,117947.7
01-07-20,25548.89,58909.62,359079.51,4262.34,118953.86
02-07-20,26165.84,58811.13,364533.23,4304.69,119256.56
03-07-20,26276.23,60357.09,371301.08,4295.03,117196.81
04-07-20,26301.41,61600.27,371579.37,4364.13,115851.84
05-07-20,26978.68,61918.79,373328.7,4399.19,114538.54
06-07-20,27570.97,61816.45,369451.36,4475.12,115238.39
07-07-20,27263.59,61188.72,363498.55,4477.04,117163.25
08-07-20,27673.25,62437,373317.62,4446.43,117746.86
09-07-20,27702.12,62268.4,365953.29,4428.37,118826.66
10-07-20,27332.12,62534.32,363868.64,4345.8,119050.99
11-07-20,26912.9,62458.51,357248.07,4322.94,117231.84
12-07-20,27534.16,62760.32,365049.91,4344.94,117147.23
13-07-20,28296.29,63394.1,370882.01,4410.35,116205.91
14-07-20,28535.25,63999.79,367308.61,4364.42,117022.51
15-07-20,28290.84,64063.37,376116.79,4454.29,115491.64
16-07-20,28332.3,63224.47,373768.2,4476.28,115335.05
17-07-20,29082.73,61987.64,370131.05,4418.3,117145.72
18-07-20,28783.73,63089.72,367223.81,4458.22,118652.97
19-07-20,28396.01,63319.89,373318.73,4414.98,116708.82
20-07-20,27987.93,63288.85,371888.69,4437.06,115131.99
21-07-20,28200.85,62375.55,372735.36,4423.15,115568.46
22-07-20,28975.15,61848.71,368342.11,4379.22,115430.77
23-07-20,29025.47,62427.1,365998.94,4355.06,116226.51
24-07-20,29710.29,64221.27,362779.33,4278.97,117766.22
25-07-20,29708.55,65336.11,367810.84,4335.83,115579.61
26-07-20,29515.29,66483.95,376284.91,4275.5,116908.38
27-07-20,29699.73,65195.43,369550.32,4347,116033.26
28-07-20,29517.15,64511.15,364854.33,4441.98,114370.75
29-07-20,29383.9,66092.72,365762.07,4460.5,112382.81
30-07-20,30159.03,67822.72,372035.21,4392.13,114386.74
31-07-20,30746.14,69373.92,369107.97,4456.57,116119.65
01-08-20,30702.56,69921.43,366073.3,4538.11,114446.53
02-08-20,31057.99,71856.26,375352.72,4584.99,115675.79
03-08-20,31216.29,73557.22,385586.23,4598.77,114062.21
04-08-20,30942.82,72882.08,392460.05,4511.17,113741.8
05-08-20,31847.33,74641.36,396965.89,4531.19,115027.79
06-08-20,31459.26,73473.77,399047.3,4495.79,114988.45
07-08-20,31658.11,74917.7,406646.04,4470.24,115688.43
08-08-20,31993.24,76778.77,402424.56,4429.7,114872.95
09-08-20,32892.65,77466.36,395854.77,4427.45,114037.17
10-08-20,33001.01,77248.07,402771.13,4397.31,114133.98
11-08-20,33785.2,77303.31,402731.67,4374.38,116540.11
12-08-20,34290.84,77111.12,413609.33,4332.28,116998.83
13-08-20,33803.59,76959.35,423671.9,4369.02,117626.81
14-08-20,33281.98,78413.21,434700.05,4372.89,118381.8
15-08-20,34027.35,79684.33,433269.78,4423.07,120055.4
16-08-20,34952.92,80695.08,443353.18,4339.76,121780.18
17-08-20,34714.37,81623.07,444414.55,4423.17,121776.86
18-08-20,35635.77,80416.16,442951.67,4420.57,122916.88
19-08-20,36034.01,82618.14,447219.47,4456.47,122569.79
20-08-20,35839.85,81143.76,442899.2,4450.47,125049.19
21-08-20,35435.37,80634.87,454981.61,4530.15,122752.15
22-08-20,35698.87,80388.04,459998.94,4596.65,123831.2
23-08-20,36188.57,82579.88,452576.55,4674.49,124742.17
24-08-20,37268.27,84700.99,455207.53,4657.01,126765.5
25-08-20,38011.71,85780.94,468481.57,4626.51,126618.96
26-08-20,37527.63,87091.24,481062.48,4577.38,127203.22
27-08-20,37231.38,88788.76,474787.07,4570.33,129637.83
28-08-20,38305.87,88462.42,473679.02,4623.58,129371.97
29-08-20,37614.49,87761.3,486071.37,4661.64,131011.11
30-08-20,37500.64,88800.14,490628.72,4692.55,130265.55
31-08-20,38338.1,89838.34,485243.87,4761.77,129566.12
01-09-20,37655.21,88358.1,476154.72,4713.14,130871.18
02-09-20,37771.6,89704.15,479813.93,4726.88,129261.42
03-09-20,38572.55,89936.63,493491.65,4773.2,129057.81
04-09-20,38614.56,91414.95,496961.48,4742.2,131012.88
05-09-20,39428.99,92999,507383,4731.55,129426.66
06-09-20,39187.2,92637.2,508946.87,4751.92,128969.8
07-09-20,39479.8,92575.68,519464.08,4748.25,129634
08-09-20,38719.91,93689.14,516756.76,4669.37,127985.91
09-09-20,39631.27,95992.05,519913.6,4700.12,126527.45
10-09-20,39756.35,94631.79,510190.69,4665.93,126160.43
11-09-20,40830.1,93551.9,521141.42,4639.28,125840.19
12-09-20,40328.97,96191.36,533462.83,4667.76,124088.18
13-09-20,40371.52,94302.06,526658.34,4740.99,125093.23
14-09-20,41069.71,96653.64,531700.21,4688.05,127832.52
15-09-20,41033.61,96183.19,533547.11,4748.76,128975.18
16-09-20,41793.15,95385.5,534026.44,4659.5,126529.55
17-09-20,41628.42,94233.68,534817.86,4710,127821.57
18-09-20,41861,94872.34,545075.1,4794.62,126014
19-09-20,42017.98,95536.27,552756.35,4879.98,125815.16
20-09-20,41752.38,94431.51,553229.82,4842.87,126085.23
21-09-20,42801.47,97153.75,566745.86,4917.89,128541.61
22-09-20,42299.02,95618.97,578775.56,4934.81,128415.38
23-09-20,41725.42,96369.57,575992.59,4930.06,127801.42
24-09-20,41697.5,95906.64,577501.41,4842.45,126717.56
25-09-20,41638.74,94920.53,589554.33,4926.72,127887.25
26-09-20,42141.36,95471.77,582510.93,5015.57,129478.19
27-09-20,42252.74,94373.53,580842.69,4968.36,126901.24
28-09-20,43317.81,95637.86,575253.42,5031.42,125086.57
29-09-20,44528.88,96301.82,579359.26,4994.58,125295.54
30-09-20,45127.57,98672.27,579484.45,5047.02,123269.13
01-10-20,45423.84,96956.66,574703.25,4960.05,122762.69
02-10-20,45912.48,99789.57,575629.02,5065.13,123543.16
03-10-20,46542.74,99443.09,573930.36,5119.82,125729.45
04-10-20,47486.62,98762.66,580827.72,5029.83,125798.3
05-10-20,46649.01,97427.26,575571.61,5087.81,124690.97
06-10-20,47370.88,99430.26,577144.69,5125.95,122649.15
07-10-20,48167.77,97559.71,568141,5146.73,123899.03
08-10-20,47604.12,97489.61,577835.38,5081.29,121951.86
09-10-20,48364.45,97898.52,567681.25,5108.92,120947.29
10-10-20,47552.52,96054.61,581636.37,5009.66,120699.17
11-10-20,47577.03,97645.76,592807.38,4921.85,120367.95
12-10-20,48402.06,100561.29,598121.1,4956.63,118102.01
13-10-20,49777.57,103497.22,609919.14,4960.97,117916.35
14-10-20,50712.67,104722.27,624625.01,4885.41,115916.19
15-10-20,51303.27,103309.21,624054.94,4902.19,116158.25
16-10-20,52426.21,105036.83,632166.24,4967.4,115551.14
17-10-20,52777.81,103758.95,631014.69,4887.18,116042.06
18-10-20,53313.26,103211.48,645185.71,4832.42,116029.4
19-10-20,52537.16,103549.57,662898.2,4884.33,116523.07
20-10-20,53383.27,102897.3,666017.19,4932.72,118684.54
21-10-20,52454.3,102557.59,666608.16,4887.01,117754.09
22-10-20,51737.84,102875.41,654611.14,4886.38,118656.5
23-10-20,50829.94,101457.37,642195.69,4867.57,120009.36
24-10-20,51130.4,104430.19,658853.21,4775.82,122217.14
25-10-20,50581.94,106514.28,678607.4,4748.18,123040.19
26-10-20,52027.05,107866.94,683065.59,4782.59,122227.86
27-10-20,53037.66,106894.07,680306.09,4861.04,122230.36
28-10-20,53337.42,109847.08,681166.49,4892.59,121645.02
29-10-20,53603.03,112088.39,687839.8,4983.91,123261.13
30-10-20,53543.62,112358.27,705586.03,4993.44,122640.12
31-10-20,53585.4,112758.78,712158.12,4899.68,121251.13
01-11-20,52751.23,114451.14,701481.9,4863.98,120533.85
02-11-20,52126.28,117420.34,692684.71,4964.31,121838.45
03-11-20,53244.08,115859.2,680740.5,5007.52,120001.96
04-11-20,52465.62,117633.96,690100.1,5082.85,120963.41
05-11-20,52827.47,116210.89,682699.5,5006.99,118711.87
06-11-20,53375.67,118732.43,674404.69,5016.01,120613.32
07-11-20,54855.56,122283.73,690714.44,4918.37,120807.34
08-11-20,56325.81,123333.77,690856.47,4856.98,120928.59
09-11-20,56509.32,122452.89,710699.16,4915.86,121516.7
10-11-20,56979.88,121786.84,698578.17,4866.59,119499.16
11-11-20,57763.53,125206.44,700476.45,4876.35,117208.78
12-11-20,56753.89,125585.19,716077.17,4801.5,115242.36
13-11-20,58008.01,125549.91,702285.2,4823.56,116377.78
14-11-20,58106.64,128326.95,713702.91,4819.23,115207.36
15-11-20,57935.52,125958.61,710810.83,4838.82,114006.46
16-11-20,57403.81,125717.73,712433.34,4815.59,113705.77
17-11-20,58342.51,124982.47,714891.48,4815.22,113061.83
18-11-20,57593.81,124635.83,727813.17,4779.71,113235.55
19-11-20,57718.87,122576.45,740669.08,4791.68,111365.27
20-11-20,58523.72,124736.98,737971.65,4862.93,112654.9
21-11-20,58562.07,125631.77,732717.34,4896.56,111904.24
22-11-20,57683.9,123822.3,719234.94,4826.24,114272.18
23-11-20,57355.51,124831.02,738575.14,4922.35,115777.58
24-11-20,58655.92,124350.68,727206.82,4967.23,117717.11
25-11-20,58021.94,121959.17,733282.97,4922.75,116881.75
26-11-20,59275.83,122503.27,753814.14,4880.14,117396.6
27-11-20,59912.81,120578.45,772452.18,4965.15,119184.8
28-11-20,60357.73,118378.51,784607.19,4980.87,117544.95
29-11-20,61612.44,120935.5,770876.24,4968.5,116682.09
30-11-20,61981.64,122248.24,775192.4,4930.42,118552.4
01-12-20,62107.86,125617.63,778366.94,4868.02,116890.73
02-12-20,61388.13,125881.57,785079.5,4777.83,118289.77
03-12-20,61253.99,128301.21,783777.06,4835.87,119592.52
04-12-20,61785.67,131930.65,778822.12,4942.21,119644.65
05-12-20,60984.45,130439.67,767715.54,5026.21,119245.69
06-12-20,60802.24,131843.95,772259.87,4972.96,119994.64
07-12-20,60571.71,130506.87,780956.47,4973.7,120928.85
08-12-20,62069.06,132303.54,803647.26,5006.47,120893.88
09-12-20,61098.3,133852.41,795622.48,5022.66,119970.18
10-12-20,62355.41,132828.81,818083.62,5045.31,119435.49
11-12-20,63907.54,130788.15,825803.72,5122.76,117638.92
12-12-20,62723.33,132434.92,814665.98,5116.19,116374.15
13-12-20,62038.89,135347.18,836729.07,5175.45,117888.3
14-12-20,61224.4,133118.14,838780.34,5256.48,117489.5
15-12-20,62890.24,135478.09,825032.46,5158.55,118512.77
16-12-20,62755.76,133707.95,840784.72,5178.72,119249.24
17-12-20,63576.8,136572.2,831622.74,5237.56,120870.43
18-12-20,62918.84,137707.73,854802.4,5332.24,121902.84
19-12-20,64536.76,138442.63,854342.41,5264.04,121432.77
20-12-20,66183.58,136993.03,853208.55,5280.83,121689.89
21-12-20,66836.05,136551.18,862791.63,5214.28,123332.61
22-12-20,66652.3,136558.05,865957.5,5243.04,125604.49
23-12-20,68219.99,139030.72,876834.29,5292.5,125461.12
24-12-20,68477.93,137848.08,902931.96,5261.71,123368.68
25-12-20,69978.52,137487.5,897645.9,5214.45,125302.94
26-12-20,69272.54,137411.88,906772.2,5235.93,124868.02
27-12-20,70313.6,141463.95,921405.64,5234.27,126966.55
28-12-20,72175.48,139987.48,946826.5,5142.21,127979.79
29-12-20,71913.88,143929.73,953598,5093.61,126483.88
30-12-20,73528.02,142203.18,966137.85,5092.68,125188.36
31-12-20,75236.34,142621.35,992345.19,5121.72,127014.09
01-01-21,74877.47,143159,994545.92,5021.12,126846.09
02-01-21,76277.67,146669.96,982365.15,5102.87,124555.06
03-01-21,78173.21,150260.27,990811.25,5150.85,125732.75
04-01-21,76942.23,148413.13,1002678.81,5238.46,124032.79
05-01-21,76563.01,149102.39,995867.94,5219.3,124086.28
06-01-21,75616.96,149060.71,998766.19,5319.11,125480.92
07-01-21,74828.94,147210.1,987001.35,5321.99,126692.45
08-01-21,74511.86,144871.74,1001248.2,5436.02,126719.34
09-01-21,75180.53,143944.99,1020874.13,5344.79,124711.77
