Date,Model,Model A
25-07-20,Model A,29708.55
26-07-20,Model A,29515.29
27-07-20,Model A,29699.73
28-07-20,Model A,29517.15
29-07-20,Model A,29383.9
30-07-20,Model A,30159.03
31-07-20,Model A,30746.14
01-08-20,Model A,30702.56
02-08-20,Model A,31057.99
03-08-20,Model A,31216.29
04-08-20,Model A,30942.82
05-08-20,Model A,31847.33
06-08-20,Model A,31459.26
07-08-20,Model A,31658.11
08-08-20,Model A,31993.24
09-08-20,Model A,32892.65
10-08-20,Model A,33001.01
11-08-20,Model A,33785.2
12-08-20,Model A,34290.84
13-08-20,Model A,33803.59
14-08-20,Model A,33281.98
15-08-20,Model A,34027.35
16-08-20,Model A,34952.92
17-08-20,Model A,34714.37
18-08-20,Model A,35635.77
19-08-20,Model A,36034.01
20-08-20,Model A,35839.85
21-08-20,Model A,35435.37
22-08-20,Model A,35698.87
23-08-20,Model A,36188.57
24-08-20,Model A,37268.27
25-08-20,Model A,38011.71
26-08-20,Model A,37527.63
27-08-20,Model A,37231.38
28-08-20,Model A,38305.87
29-08-20,Model A,37614.49
30-08-20,Model A,37500.64
31-08-20,Model A,38338.1
01-09-20,Model A,37655.21
02-09-20,Model A,37771.6
03-09-20,Model A,38572.55
04-09-20,Model A,38614.56
05-09-20,Model A,39428.99
06-09-20,Model A,39187.2
07-09-20,Model A,39479.8
08-09-20,Model A,38719.91
09-09-20,Model A,39631.27
10-09-20,Model A,39756.35
11-09-20,Model A,40830.1
12-09-20,Model A,40328.97
13-09-20,Model A,40371.52
14-09-20,Model A,41069.71
15-09-20,Model A,41033.61
16-09-20,Model A,41793.15
17-09-20,Model A,41628.42
18-09-20,Model A,41861
19-09-20,Model A,42017.98
20-09-20,Model A,41752.38
21-09-20,Model A,42801.47
22-09-20,Model A,42299.02
23-09-20,Model A,41725.42
24-09-20,Model A,41697.5
25-09-20,Model A,41638.74
26-09-20,Model A,42141.36
27-09-20,Model A,42252.74
28-09-20,Model A,43317.81
29-09-20,Model A,44528.88
30-09-20,Model A,45127.57
01-10-20,Model A,45423.84
02-10-20,Model A,45912.48
03-10-20,Model A,46542.74
04-10-20,Model A,47486.62
05-10-20,Model A,46649.01
06-10-20,Model A,47370.88
07-10-20,Model A,48167.77
08-10-20,Model A,47604.12
09-10-20,Model A,48364.45
10-10-20,Model A,47552.52
11-10-20,Model A,47577.03
12-10-20,Model A,48402.06
13-10-20,Model A,49777.57
14-10-20,Model A,50712.67
15-10-20,Model A,51303.27
16-10-20,Model A,52426.21
17-10-20,Model A,52777.81
18-10-20,Model A,53313.26
19-10-20,Model A,52537.16
20-10-20,Model A,53383.27
21-10-20,Model A,52454.3
22-10-20,Model A,51737.84
23-10-20,Model A,50829.94
24-10-20,Model A,51130.4
25-10-20,Model A,50581.94
26-10-20,Model A,52027.05
27-10-20,Model A,53037.66
28-10-20,Model A,53337.42
29-10-20,Model A,53603.03
30-10-20,Model A,53543.62
31-10-20,Model A,53585.4
01-11-20,Model A,52751.23
02-11-20,Model A,52126.28
03-11-20,Model A,53244.08
04-11-20,Model A,52465.62
05-11-20,Model A,52827.47
06-11-20,Model A,53375.67
07-11-20,Model A,54855.56
08-11-20,Model A,56325.81
09-11-20,Model A,56509.32
10-11-20,Model A,56979.88
11-11-20,Model A,57763.53
12-11-20,Model A,56753.89
13-11-20,Model A,58008.01
14-11-20,Model A,58106.64
15-11-20,Model A,57935.52
16-11-20,Model A,57403.81
17-11-20,Model A,58342.51
18-11-20,Model A,57593.81
19-11-20,Model A,57718.87
20-11-20,Model A,58523.72
21-11-20,Model A,58562.07
22-11-20,Model A,57683.9
23-11-20,Model A,57355.51
24-11-20,Model A,58655.92
25-11-20,Model A,58021.94
26-11-20,Model A,59275.83
27-11-20,Model A,59912.81
28-11-20,Model A,60357.73
29-11-20,Model A,61612.44
30-11-20,Model A,61981.64
01-12-20,Model A,62107.86
02-12-20,Model A,61388.13
03-12-20,Model A,61253.99
04-12-20,Model A,61785.67
05-12-20,Model A,60984.45
06-12-20,Model A,60802.24
07-12-20,Model A,60571.71
08-12-20,Model A,62069.06
09-12-20,Model A,61098.3
10-12-20,Model A,62355.41
11-12-20,Model A,63907.54
12-12-20,Model A,62723.33
13-12-20,Model A,62038.89
14-12-20,Model A,61224.4
15-12-20,Model A,62890.24
16-12-20,Model A,62755.76
17-12-20,Model A,63576.8
18-12-20,Model A,62918.84
19-12-20,Model A,64536.76
20-12-20,Model A,66183.58
21-12-20,Model A,66836.05
22-12-20,Model A,66652.3
23-12-20,Model A,68219.99
24-12-20,Model A,68477.93
25-12-20,Model A,69978.52
26-12-20,Model A,69272.54
27-12-20,Model A,70313.6
28-12-20,Model A,72175.48
29-12-20,Model A,71913.88
30-12-20,Model A,73528.02
31-12-20,Model A,75236.34
01-01-21,Model A,74877.47
02-01-21,Model A,76277.67
03-01-21,Model A,78173.21
04-01-21,Model A,76942.23
05-01-21,Model A,76563.01
06-01-21,Model A,75616.96
07-01-21,Model A,74828.94
08-01-21,Model A,74511.86
09-01-21,Model A,75180.53
11-01-20,Model B,35987
12-01-20,Model B,36591.05
13-01-20,Model B,37667.9
14-01-20,Model B,38683.16
15-01-20,Model B,38415.56
16-01-20,Model B,38712.28
17-01-20,Model B,39710.63
18-01-20,Model B,39643.01
19-01-20,Model B,40772.78
20-01-20,Model B,41279.05
21-01-20,Model B,42069.2
22-01-20,Model B,42413.21
23-01-20,Model B,43648.75
24-01-20,Model B,43354.83
25-01-20,Model B,43796.71
26-01-20,Model B,44234.95
27-01-20,Model B,43592.12
28-01-20,Model B,43597.79
29-01-20,Model B,44559.31
30-01-20,Model B,44022.27
31-01-20,Model B,43348.79
01-02-20,Model B,44142.49
02-02-20,Model B,44495.43
03-02-20,Model B,45519.77
04-02-20,Model B,44976.05
05-02-20,Model B,45378.09
06-02-20,Model B,45301.39
07-02-20,Model B,44854.25
08-02-20,Model B,44166.62
09-02-20,Model B,44493.78
10-02-20,Model B,43976.41
11-02-20,Model B,44111.63
12-02-20,Model B,44111.26
13-02-20,Model B,44228.44
14-02-20,Model B,44648.91
15-02-20,Model B,44359.5
16-02-20,Model B,45198.44
17-02-20,Model B,45996.91
18-02-20,Model B,45882.28
19-02-20,Model B,46953.4
20-02-20,Model B,47251.42
21-02-20,Model B,46474.28
22-02-20,Model B,45669.25
23-02-20,Model B,46059.84
24-02-20,Model B,46492.99
25-02-20,Model B,45607.26
26-02-20,Model B,46331.58
27-02-20,Model B,45580.64
28-02-20,Model B,45937.89
29-02-20,Model B,45230.47
01-03-20,Model B,45434.46
02-03-20,Model B,44808.75
03-03-20,Model B,45060.66
04-03-20,Model B,44275.91
05-03-20,Model B,45589.03
06-03-20,Model B,46624.16
07-03-20,Model B,46366.57
08-03-20,Model B,45846.4
09-03-20,Model B,45615.49
10-03-20,Model B,45104.9
11-03-20,Model B,44459.12
12-03-20,Model B,44970.94
13-03-20,Model B,46317.09
14-03-20,Model B,47397.83
15-03-20,Model B,48472.26
16-03-20,Model B,47815.69
17-03-20,Model B,48475.8
18-03-20,Model B,48562.05
19-03-20,Model B,47785.66
20-03-20,Model B,48452.18
21-03-20,Model B,49813.43
22-03-20,Model B,49360.72
23-03-20,Model B,49947.3
24-03-20,Model B,51384.05
25-03-20,Model B,52819.67
26-03-20,Model B,54294.72
27-03-20,Model B,53708.97
28-03-20,Model B,53689.14
29-03-20,Model B,54302.92
30-03-20,Model B,55342.54
31-03-20,Model B,55463.35
01-04-20,Model B,56935.83
02-04-20,Model B,55988.38
03-04-20,Model B,55291.61
04-04-20,Model B,54193.46
05-04-20,Model B,54586.75
06-04-20,Model B,54317.99
07-04-20,Model B,54089.22
08-04-20,Model B,54052.28
09-04-20,Model B,53116.54
10-04-20,Model B,52223.3
11-04-20,Model B,52100.73
12-04-20,Model B,51538.58
13-04-20,Model B,50922.88
14-04-20,Model B,50759.96
15-04-20,Model B,50400.92
16-04-20,Model B,51754.27
17-04-20,Model B,51264.02
18-04-20,Model B,50394.02
19-04-20,Model B,51126.43
20-04-20,Model B,51547.37
21-04-20,Model B,51394.32
22-04-20,Model B,51199.58
23-04-20,Model B,50667.96
24-04-20,Model B,51338.11
25-04-20,Model B,51912.84
26-04-20,Model B,53146.54
27-04-20,Model B,52301.33
28-04-20,Model B,53711.75
29-04-20,Model B,52966.86
30-04-20,Model B,52115.98
01-05-20,Model B,51830.58
02-05-20,Model B,52051.75
03-05-20,Model B,53576.1
04-05-20,Model B,54912.96
05-05-20,Model B,56451.32
06-05-20,Model B,57325.92
07-05-20,Model B,56472.14
08-05-20,Model B,55629.19
09-05-20,Model B,54919.52
10-05-20,Model B,54317.84
11-05-20,Model B,54845.1
12-05-20,Model B,54037.39
13-05-20,Model B,53927.02
14-05-20,Model B,53973.78
15-05-20,Model B,54817.08
16-05-20,Model B,53839.32
17-05-20,Model B,53889.15
18-05-20,Model B,55103.43
19-05-20,Model B,55855.16
20-05-20,Model B,55856.8
21-05-20,Model B,57028.1
22-05-20,Model B,56203.11
23-05-20,Model B,57290.98
24-05-20,Model B,58349.07
25-05-20,Model B,57616.19
26-05-20,Model B,56749.18
27-05-20,Model B,55760.71
28-05-20,Model B,55419.35
29-05-20,Model B,55426.26
30-05-20,Model B,54645.2
31-05-20,Model B,54561.46
01-06-20,Model B,53470.78
02-06-20,Model B,53121.49
03-06-20,Model B,52622.27
04-06-20,Model B,52706.88
05-06-20,Model B,52933.55
06-06-20,Model B,54348.36
07-06-20,Model B,54684.02
08-06-20,Model B,53692.85
09-06-20,Model B,53979.23
10-06-20,Model B,54825.32
11-06-20,Model B,55527.32
12-06-20,Model B,55005.31
13-06-20,Model B,55301.25
14-06-20,Model B,54600.68
15-06-20,Model B,54570.71
16-06-20,Model B,55971.3
17-06-20,Model B,56218.1
18-06-20,Model B,55848.66
19-06-20,Model B,57280.41
20-06-20,Model B,56830.86
21-06-20,Model B,57007.13
22-06-20,Model B,57185.49
23-06-20,Model B,56112.8
24-06-20,Model B,56413.78
25-06-20,Model B,57611
26-06-20,Model B,58395.69
27-06-20,Model B,58724.84
28-06-20,Model B,57729.81
29-06-20,Model B,59309.98
30-06-20,Model B,59227.36
01-07-20,Model B,58909.62
02-07-20,Model B,58811.13
03-07-20,Model B,60357.09
04-07-20,Model B,61600.27
05-07-20,Model B,61918.79
06-07-20,Model B,61816.45
07-07-20,Model B,61188.72
08-07-20,Model B,62437
09-07-20,Model B,62268.4
10-07-20,Model B,62534.32
11-07-20,Model B,62458.51
12-07-20,Model B,62760.32
13-07-20,Model B,63394.1
14-07-20,Model B,63999.79
15-07-20,Model B,64063.37
16-07-20,Model B,63224.47
17-07-20,Model B,61987.64
18-07-20,Model B,63089.72
19-07-20,Model B,63319.89
20-07-20,Model B,63288.85
21-07-20,Model B,62375.55
22-07-20,Model B,61848.71
23-07-20,Model B,62427.1
24-07-20,Model B,64221.27
25-07-20,Model B,65336.11
26-07-20,Model B,66483.95
27-07-20,Model B,65195.43
28-07-20,Model B,64511.15
29-07-20,Model B,66092.72
30-07-20,Model B,67822.72
31-07-20,Model B,69373.92
01-08-20,Model B,69921.43
02-08-20,Model B,71856.26
03-08-20,Model B,73557.22
04-08-20,Model B,72882.08
05-08-20,Model B,74641.36
06-08-20,Model B,73473.77
07-08-20,Model B,74917.7
08-08-20,Model B,76778.77
09-08-20,Model B,77466.36
10-08-20,Model B,77248.07
11-08-20,Model B,77303.31
12-08-20,Model B,77111.12
13-08-20,Model B,76959.35
14-08-20,Model B,78413.21
15-08-20,Model B,79684.33
16-08-20,Model B,80695.08
17-08-20,Model B,81623.07
18-08-20,Model B,80416.16
19-08-20,Model B,82618.14
20-08-20,Model B,81143.76
21-08-20,Model B,80634.87
22-08-20,Model B,80388.04
23-08-20,Model B,82579.88
24-08-20,Model B,84700.99
25-08-20,Model B,85780.94
26-08-20,Model B,87091.24
27-08-20,Model B,88788.76
28-08-20,Model B,88462.42
29-08-20,Model B,87761.3
30-08-20,Model B,88800.14
31-08-20,Model B,89838.34
01-09-20,Model B,88358.1
02-09-20,Model B,89704.15
03-09-20,Model B,89936.63
04-09-20,Model B,91414.95
05-09-20,Model B,92999
06-09-20,Model B,92637.2
07-09-20,Model B,92575.68
08-09-20,Model B,93689.14
09-09-20,Model B,95992.05
10-09-20,Model B,94631.79
11-09-20,Model B,93551.9
12-09-20,Model B,96191.36
13-09-20,Model B,94302.06
14-09-20,Model B,96653.64
15-09-20,Model B,96183.19
16-09-20,Model B,95385.5
17-09-20,Model B,94233.68
18-09-20,Model B,94872.34
19-09-20,Model B,95536.27
20-09-20,Model B,94431.51
21-09-20,Model B,97153.75
22-09-20,Model B,95618.97
23-09-20,Model B,96369.57
24-09-20,Model B,95906.64
25-09-20,Model B,94920.53
26-09-20,Model B,95471.77
27-09-20,Model B,94373.53
28-09-20,Model B,95637.86
29-09-20,Model B,96301.82
30-09-20,Model B,98672.27
01-10-20,Model B,96956.66
02-10-20,Model B,99789.57
03-10-20,Model B,99443.09
04-10-20,Model B,98762.66
05-10-20,Model B,97427.26
06-10-20,Model B,99430.26
07-10-20,Model B,97559.71
08-10-20,Model B,97489.61
09-10-20,Model B,97898.52
10-10-20,Model B,96054.61
11-10-20,Model B,97645.76
12-10-20,Model B,100561.29
13-10-20,Model B,103497.22
14-10-20,Model B,104722.27
15-10-20,Model B,103309.21
16-10-20,Model B,105036.83
17-10-20,Model B,103758.95
18-10-20,Model B,103211.48
19-10-20,Model B,103549.57
20-10-20,Model B,102897.3
21-10-20,Model B,102557.59
22-10-20,Model B,102875.41
23-10-20,Model B,101457.37
24-10-20,Model B,104430.19
25-10-20,Model B,106514.28
26-10-20,Model B,107866.94
27-10-20,Model B,106894.07
28-10-20,Model B,109847.08
29-10-20,Model B,112088.39
30-10-20,Model B,112358.27
31-10-20,Model B,112758.78
01-11-20,Model B,114451.14
02-11-20,Model B,117420.34
03-11-20,Model B,115859.2
04-11-20,Model B,117633.96
05-11-20,Model B,116210.89
06-11-20,Model B,118732.43
07-11-20,Model B,122283.73
08-11-20,Model B,123333.77
09-11-20,Model B,122452.89
10-11-20,Model B,121786.84
11-11-20,Model B,125206.44
12-11-20,Model B,125585.19
13-11-20,Model B,125549.91
14-11-20,Model B,128326.95
15-11-20,Model B,125958.61
16-11-20,Model B,125717.73
17-11-20,Model B,124982.47
18-11-20,Model B,124635.83
19-11-20,Model B,122576.45
20-11-20,Model B,124736.98
21-11-20,Model B,125631.77
22-11-20,Model B,123822.3
23-11-20,Model B,124831.02
24-11-20,Model B,124350.68
25-11-20,Model B,121959.17
26-11-20,Model B,122503.27
27-11-20,Model B,120578.45
28-11-20,Model B,118378.51
29-11-20,Model B,120935.5
30-11-20,Model B,122248.24
01-12-20,Model B,125617.63
02-12-20,Model B,125881.57
03-12-20,Model B,128301.21
04-12-20,Model B,131930.65
05-12-20,Model B,130439.67
06-12-20,Model B,131843.95
07-12-20,Model B,130506.87
08-12-20,Model B,132303.54
09-12-20,Model B,133852.41
10-12-20,Model B,132828.81
11-12-20,Model B,130788.15
12-12-20,Model B,132434.92
13-12-20,Model B,135347.18
14-12-20,Model B,133118.14
15-12-20,Model B,135478.09
16-12-20,Model B,133707.95
17-12-20,Model B,136572.2
18-12-20,Model B,137707.73
19-12-20,Model B,138442.63
20-12-20,Model B,136993.03
21-12-20,Model B,136551.18
22-12-20,Model B,136558.05
23-12-20,Model B,139030.72
24-12-20,Model B,137848.08
25-12-20,Model B,137487.5
26-12-20,Model B,137411.88
27-12-20,Model B,141463.95
28-12-20,Model B,139987.48
29-12-20,Model B,143929.73
30-12-20,Model B,142203.18
31-12-20,Model B,142621.35
01-01-21,Model B,143159
02-01-21,Model B,146669.96
03-01-21,Model B,150260.27
04-01-21,Model B,148413.13
05-01-21,Model B,149102.39
06-01-21,Model B,149060.71
07-01-21,Model B,147210.1
08-01-21,Model B,144871.74
09-01-21,Model B,143944.99
11-01-20,Model C,169241
12-01-20,Model C,167248.79
13-01-20,Model C,167057.4
14-01-20,Model C,167761.1
15-01-20,Model C,167722.41
16-01-20,Model C,165094.03
17-01-20,Model C,161859.05
18-01-20,Model C,162122.95
19-01-20,Model C,165049.23
20-01-20,Model C,163167.22
21-01-20,Model C,162959.04
22-01-20,Model C,161090.13
23-01-20,Model C,163099.02
24-01-20,Model C,164216.69
25-01-20,Model C,168780.6
26-01-20,Model C,165526.46
27-01-20,Model C,165778.2
28-01-20,Model C,163227.06
29-01-20,Model C,165044.52
30-01-20,Model C,165161.98
31-01-20,Model C,164267.43
01-02-20,Model C,168493.05
02-02-20,Model C,165231.41
03-02-20,Model C,166944.11
04-02-20,Model C,164644.8
05-02-20,Model C,161627.58
06-02-20,Model C,161520.12
07-02-20,Model C,162233.81
08-02-20,Model C,165761.39
09-02-20,Model C,169657.68
10-02-20,Model C,174133.26
11-02-20,Model C,179028.79
12-02-20,Model C,176416.61
13-02-20,Model C,176716.7
14-02-20,Model C,173838.26
15-02-20,Model C,174733.34
16-02-20,Model C,171262.03
17-02-20,Model C,175885.92
18-02-20,Model C,174447.88
19-02-20,Model C,176643.25
20-02-20,Model C,180328.63
21-02-20,Model C,176757.54
22-02-20,Model C,180854.79
23-02-20,Model C,180352.84
24-02-20,Model C,179299.6
25-02-20,Model C,184436.49
26-02-20,Model C,182560.85
27-02-20,Model C,182980.8
28-02-20,Model C,186478.41
29-02-20,Model C,188214.87
01-03-20,Model C,187684.71
02-03-20,Model C,191366.53
03-03-20,Model C,193621.46
04-03-20,Model C,191039.12
05-03-20,Model C,188192.82
06-03-20,Model C,188203.34
07-03-20,Model C,191960.13
08-03-20,Model C,197247.12
09-03-20,Model C,195470.45
10-03-20,Model C,194460.88
11-03-20,Model C,198727.45
12-03-20,Model C,196905.18
13-03-20,Model C,196078.81
14-03-20,Model C,200334.99
15-03-20,Model C,202268.51
16-03-20,Model C,204354.47
17-03-20,Model C,210436.67
18-03-20,Model C,214481.14
19-03-20,Model C,219218.9
20-03-20,Model C,216404.8
21-03-20,Model C,212270.8
22-03-20,Model C,212206.6
23-03-20,Model C,215113.94
24-03-20,Model C,213087.29
25-03-20,Model C,212676.18
26-03-20,Model C,212901.83
27-03-20,Model C,218710.52
28-03-20,Model C,214546.42
29-03-20,Model C,215781.21
30-03-20,Model C,221008.46
31-03-20,Model C,227552.28
01-04-20,Model C,226041.43
02-04-20,Model C,224325.6
03-04-20,Model C,221358.57
04-04-20,Model C,218058.81
05-04-20,Model C,214889.03
06-04-20,Model C,218617.64
07-04-20,Model C,219205.6
08-04-20,Model C,222388.72
09-04-20,Model C,221218.73
10-04-20,Model C,226374.73
11-04-20,Model C,233060.3
12-04-20,Model C,238726.4
13-04-20,Model C,236059.41
14-04-20,Model C,232285.85
15-04-20,Model C,232554.95
16-04-20,Model C,236524.09
17-04-20,Model C,233750.23
18-04-20,Model C,236605.69
19-04-20,Model C,239703.09
20-04-20,Model C,245241.34
21-04-20,Model C,246291.07
22-04-20,Model C,253494.4
23-04-20,Model C,255277.78
24-04-20,Model C,255182.58
25-04-20,Model C,257961.46
26-04-20,Model C,255419.14
27-04-20,Model C,260003.63
28-04-20,Model C,259178.15
29-04-20,Model C,255096.59
30-04-20,Model C,256892.15
01-05-20,Model C,260820.94
02-05-20,Model C,266242.3
03-05-20,Model C,261038.84
04-05-20,Model C,260866.87
05-05-20,Model C,257586.19
06-05-20,Model C,264395.37
07-05-20,Model C,269776.22
08-05-20,Model C,276298.95
09-05-20,Model C,276145.83
10-05-20,Model C,277540.26
11-05-20,Model C,284034.16
12-05-20,Model C,279763.41
13-05-20,Model C,280147.95
14-05-20,Model C,288505.69
15-05-20,Model C,296709.88
16-05-20,Model C,294442.98
17-05-20,Model C,291701.21
18-05-20,Model C,293009.09
19-05-20,Model C,292642.83
20-05-20,Model C,300718.02
21-05-20,Model C,304126.5
22-05-20,Model C,312447.7
23-05-20,Model C,318889.42
24-05-20,Model C,320021.2
25-05-20,Model C,328904.66
26-05-20,Model C,325987.62
27-05-20,Model C,321101.52
28-05-20,Model C,323314.67
29-05-20,Model C,323171.84
30-05-20,Model C,329734
31-05-20,Model C,330949.5
01-06-20,Model C,329163.53
02-06-20,Model C,333486.1
03-06-20,Model C,338700.2
04-06-20,Model C,342985.67
05-06-20,Model C,344620.78
06-06-20,Model C,354777.45
07-06-20,Model C,352030.4
08-06-20,Model C,357547.28
09-06-20,Model C,354604.99
10-06-20,Model C,349656.38
11-06-20,Model C,353966.06
12-06-20,Model C,350564.22
13-06-20,Model C,353389.83
14-06-20,Model C,355391.28
15-06-20,Model C,352745.35
16-06-20,Model C,360997.38
17-06-20,Model C,354980.56
18-06-20,Model C,354169.86
19-06-20,Model C,363878.35
20-06-20,Model C,357568.17
21-06-20,Model C,354242.23
22-06-20,Model C,354056.27
23-06-20,Model C,350410.28
24-06-20,Model C,354604.65
25-06-20,Model C,352613.61
26-06-20,Model C,356162.89
27-06-20,Model C,359668.56
28-06-20,Model C,365432.34
29-06-20,Model C,362960.82
30-06-20,Model C,362293.73
01-07-20,Model C,359079.51
02-07-20,Model C,364533.23
03-07-20,Model C,371301.08
04-07-20,Model C,371579.37
05-07-20,Model C,373328.7
06-07-20,Model C,369451.36
07-07-20,Model C,363498.55
08-07-20,Model C,373317.62
09-07-20,Model C,365953.29
10-07-20,Model C,363868.64
11-07-20,Model C,357248.07
12-07-20,Model C,365049.91
13-07-20,Model C,370882.01
14-07-20,Model C,367308.61
15-07-20,Model C,376116.79
16-07-20,Model C,373768.2
17-07-20,Model C,370131.05
18-07-20,Model C,367223.81
19-07-20,Model C,373318.73
20-07-20,Model C,371888.69
21-07-20,Model C,372735.36
22-07-20,Model C,368342.11
23-07-20,Model C,365998.94
24-07-20,Model C,362779.33
25-07-20,Model C,367810.84
26-07-20,Model C,376284.91
27-07-20,Model C,369550.32
28-07-20,Model C,364854.33
29-07-20,Model C,365762.07
30-07-20,Model C,372035.21
31-07-20,Model C,369107.97
