Date,Brand,Patek Philippe
12-05-21,Patek Philippe,20261
13-05-21,Patek Philippe,20202
14-05-21,Patek Philippe,20189
15-05-21,Patek Philippe,20175
16-05-21,Patek Philippe,20184
17-05-21,Patek Philippe,20240
18-05-21,Patek Philippe,20286
19-05-21,Patek Philippe,20264
20-05-21,Patek Philippe,20289
21-05-21,Patek Philippe,20365
22-05-21,Patek Philippe,20381
23-05-21,Patek Philippe,20378
24-05-21,Patek Philippe,20402
25-05-21,Patek Philippe,20416
26-05-21,Patek Philippe,20395
27-05-21,Patek Philippe,20410
28-05-21,Patek Philippe,20404
29-05-21,Patek Philippe,20419
30-05-21,Patek Philippe,20419
31-05-21,Patek Philippe,20430
01-06-21,Patek Philippe,20451
02-06-21,Patek Philippe,20502
03-06-21,Patek Philippe,20482
04-06-21,Patek Philippe,20499
05-06-21,Patek Philippe,20547
06-06-21,Patek Philippe,20587
07-06-21,Patek Philippe,20620
08-06-21,Patek Philippe,20652
09-06-21,Patek Philippe,20660
10-06-21,Patek Philippe,20702
11-06-21,Patek Philippe,20690
12-06-21,Patek Philippe,20853
13-06-21,Patek Philippe,20881
14-06-21,Patek Philippe,20916
15-06-21,Patek Philippe,20916
16-06-21,Patek Philippe,20979
17-06-21,Patek Philippe,21002
18-06-21,Patek Philippe,21017
19-06-21,Patek Philippe,21041
20-06-21,Patek Philippe,21025
21-06-21,Patek Philippe,21053
22-06-21,Patek Philippe,21053
23-06-21,Patek Philippe,21032
24-06-21,Patek Philippe,21008
25-06-21,Patek Philippe,21028
26-06-21,Patek Philippe,21018
27-06-21,Patek Philippe,20999
28-06-21,Patek Philippe,21016
29-06-21,Patek Philippe,21009
30-06-21,Patek Philippe,20989
01-07-21,Patek Philippe,20950
02-07-21,Patek Philippe,20910
03-07-21,Patek Philippe,20947
04-07-21,Patek Philippe,20949
05-07-21,Patek Philippe,20963
06-07-21,Patek Philippe,20955
07-07-21,Patek Philippe,20957
08-07-21,Patek Philippe,20948
09-07-21,Patek Philippe,20953
10-07-21,Patek Philippe,20935
11-07-21,Patek Philippe,20989
12-07-21,Patek Philippe,20827
13-07-21,Patek Philippe,20885
14-07-21,Patek Philippe,20837
15-07-21,Patek Philippe,20827
16-07-21,Patek Philippe,20791
17-07-21,Patek Philippe,20821
18-07-21,Patek Philippe,20811
19-07-21,Patek Philippe,20830
20-07-21,Patek Philippe,20837
21-07-21,Patek Philippe,20791
22-07-21,Patek Philippe,20787
23-07-21,Patek Philippe,20806
24-07-21,Patek Philippe,20818
25-07-21,Patek Philippe,20809
26-07-21,Patek Philippe,20819
27-07-21,Patek Philippe,20841
28-07-21,Patek Philippe,20820
29-07-21,Patek Philippe,20840
30-07-21,Patek Philippe,20840
31-07-21,Patek Philippe,20870
01-08-21,Patek Philippe,20898
02-08-21,Patek Philippe,20872
03-08-21,Patek Philippe,20929
04-08-21,Patek Philippe,20927
05-08-21,Patek Philippe,20941
06-08-21,Patek Philippe,20912
07-08-21,Patek Philippe,20960
08-08-21,Patek Philippe,20892
09-08-21,Patek Philippe,20980
10-08-21,Patek Philippe,20902
11-08-21,Patek Philippe,20887
12-08-21,Patek Philippe,20758
13-08-21,Patek Philippe,20823
14-08-21,Patek Philippe,20864
15-08-21,Patek Philippe,20900
16-08-21,Patek Philippe,20909
17-08-21,Patek Philippe,20967
18-08-21,Patek Philippe,20956
19-08-21,Patek Philippe,20908
20-08-21,Patek Philippe,20933
21-08-21,Patek Philippe,20934
22-08-21,Patek Philippe,20899
23-08-21,Patek Philippe,20921
24-08-21,Patek Philippe,20957
25-08-21,Patek Philippe,20952
26-08-21,Patek Philippe,20937
27-08-21,Patek Philippe,20990
28-08-21,Patek Philippe,20984
29-08-21,Patek Philippe,20992
30-08-21,Patek Philippe,20985
31-08-21,Patek Philippe,20992
01-09-21,Patek Philippe,21121
02-09-21,Patek Philippe,20985
03-09-21,Patek Philippe,20859
04-09-21,Patek Philippe,20859
05-09-21,Patek Philippe,20921
06-09-21,Patek Philippe,21011
07-09-21,Patek Philippe,20945
08-09-21,Patek Philippe,20832
09-09-21,Patek Philippe,20763
10-09-21,Patek Philippe,20752
11-09-21,Patek Philippe,20961
12-09-21,Patek Philippe,20961
13-09-21,Patek Philippe,20955
14-09-21,Patek Philippe,20929
15-09-21,Patek Philippe,20938
16-09-21,Patek Philippe,20876
17-09-21,Patek Philippe,20872
18-09-21,Patek Philippe,20859
19-09-21,Patek Philippe,20906
20-09-21,Patek Philippe,20892
21-09-21,Patek Philippe,20901
22-09-21,Patek Philippe,20970
23-09-21,Patek Philippe,20813
24-09-21,Patek Philippe,20725
25-09-21,Patek Philippe,20727
26-09-21,Patek Philippe,20759
27-09-21,Patek Philippe,20737
28-09-21,Patek Philippe,20746
29-09-21,Patek Philippe,21142
30-09-21,Patek Philippe,21142
01-10-21,Patek Philippe,21181
02-10-21,Patek Philippe,21191
03-10-21,Patek Philippe,21181
04-10-21,Patek Philippe,21243
05-10-21,Patek Philippe,21318
06-10-21,Patek Philippe,21303
07-10-21,Patek Philippe,21307
08-10-21,Patek Philippe,21290
09-10-21,Patek Philippe,21301
10-10-21,Patek Philippe,21298
11-10-21,Patek Philippe,21348
12-10-21,Patek Philippe,21381
13-10-21,Patek Philippe,21374
14-10-21,Patek Philippe,21377
15-10-21,Patek Philippe,21424
16-10-21,Patek Philippe,21457
17-10-21,Patek Philippe,21512
18-10-21,Patek Philippe,21546
19-10-21,Patek Philippe,21583
20-10-21,Patek Philippe,21560
21-10-21,Patek Philippe,21605
22-10-21,Patek Philippe,21635
23-10-21,Patek Philippe,21636
24-10-21,Patek Philippe,21741
25-10-21,Patek Philippe,21676
26-10-21,Patek Philippe,21695
27-10-21,Patek Philippe,21767
28-10-21,Patek Philippe,21775
29-10-21,Patek Philippe,21785
30-10-21,Patek Philippe,21746
31-10-21,Patek Philippe,21780
01-11-21,Patek Philippe,21774
02-11-21,Patek Philippe,21838
03-11-21,Patek Philippe,21891
04-11-21,Patek Philippe,21882
05-11-21,Patek Philippe,21976
06-11-21,Patek Philippe,21948
07-11-21,Patek Philippe,22004
08-11-21,Patek Philippe,22011
09-11-21,Patek Philippe,22051
10-11-21,Patek Philippe,22109
11-11-21,Patek Philippe,22109
12-11-21,Patek Philippe,22119
13-11-21,Patek Philippe,22109
14-11-21,Patek Philippe,22168
15-11-21,Patek Philippe,22168
16-11-21,Patek Philippe,22175
17-11-21,Patek Philippe,22137
18-11-21,Patek Philippe,22259
19-11-21,Patek Philippe,22259
20-11-21,Patek Philippe,22269
21-11-21,Patek Philippe,22233
22-11-21,Patek Philippe,22325
23-11-21,Patek Philippe,22392
24-11-21,Patek Philippe,22419
25-11-21,Patek Philippe,22437
26-11-21,Patek Philippe,22453
27-11-21,Patek Philippe,22557
28-11-21,Patek Philippe,22623
29-11-21,Patek Philippe,22597
30-11-21,Patek Philippe,22674
01-12-21,Patek Philippe,22717
02-12-21,Patek Philippe,22773
03-12-21,Patek Philippe,22774
04-12-21,Patek Philippe,22836
05-12-21,Patek Philippe,22804
06-12-21,Patek Philippe,22795
07-12-21,Patek Philippe,22866
08-12-21,Patek Philippe,22809
09-12-21,Patek Philippe,22840
10-12-21,Patek Philippe,22879
11-12-21,Patek Philippe,22921
12-12-21,Patek Philippe,22920
13-12-21,Patek Philippe,22977
14-12-21,Patek Philippe,22991
15-12-21,Patek Philippe,23025
16-12-21,Patek Philippe,23094
17-12-21,Patek Philippe,23089
18-12-21,Patek Philippe,23163
19-12-21,Patek Philippe,23292
20-12-21,Patek Philippe,23361
21-12-21,Patek Philippe,23431
22-12-21,Patek Philippe,23431
23-12-21,Patek Philippe,23459
24-12-21,Patek Philippe,23472
25-12-21,Patek Philippe,23520
26-12-21,Patek Philippe,23598
27-12-21,Patek Philippe,23643
28-12-21,Patek Philippe,23609
29-12-21,Patek Philippe,23617
30-12-21,Patek Philippe,23694
31-12-21,Patek Philippe,23701
01-01-22,Patek Philippe,23748
02-01-22,Patek Philippe,23748
03-01-22,Patek Philippe,23789
04-01-22,Patek Philippe,23872
05-01-22,Patek Philippe,23903
06-01-22,Patek Philippe,23965
07-01-22,Patek Philippe,24036
08-01-22,Patek Philippe,24058
09-01-22,Patek Philippe,24191
10-01-22,Patek Philippe,24332
11-01-22,Patek Philippe,24340
12-01-22,Patek Philippe,24417
13-01-22,Patek Philippe,24490
14-01-22,Patek Philippe,24569
15-01-22,Patek Philippe,24660
16-01-22,Patek Philippe,24893
17-01-22,Patek Philippe,24935
18-01-22,Patek Philippe,25010
19-01-22,Patek Philippe,25057
20-01-22,Patek Philippe,25117
21-01-22,Patek Philippe,25219
22-01-22,Patek Philippe,25304
23-01-22,Patek Philippe,25445
24-01-22,Patek Philippe,25445
25-01-22,Patek Philippe,25445
26-01-22,Patek Philippe,25445
27-01-22,Patek Philippe,25553
28-01-22,Patek Philippe,25873
29-01-22,Patek Philippe,26051
30-01-22,Patek Philippe,26051
31-01-22,Patek Philippe,26127
01-02-22,Patek Philippe,26127
02-02-22,Patek Philippe,26241
03-02-22,Patek Philippe,26259
04-02-22,Patek Philippe,26491
05-02-22,Patek Philippe,26559
06-02-22,Patek Philippe,26669
07-02-22,Patek Philippe,26770
08-02-22,Patek Philippe,26927
09-02-22,Patek Philippe,26927
10-02-22,Patek Philippe,27122
11-02-22,Patek Philippe,27182
12-02-22,Patek Philippe,27238
13-02-22,Patek Philippe,27238
14-02-22,Patek Philippe,27325
15-02-22,Patek Philippe,27360
16-02-22,Patek Philippe,27832
17-02-22,Patek Philippe,27832
18-02-22,Patek Philippe,27832
19-02-22,Patek Philippe,28083
20-02-22,Patek Philippe,28213
21-02-22,Patek Philippe,28368
22-02-22,Patek Philippe,28483
23-02-22,Patek Philippe,28633
24-02-22,Patek Philippe,28802
25-02-22,Patek Philippe,29006
26-02-22,Patek Philippe,29143
27-02-22,Patek Philippe,29203
28-02-22,Patek Philippe,29203
01-03-22,Patek Philippe,29283
02-03-22,Patek Philippe,29349
03-03-22,Patek Philippe,29460
04-03-22,Patek Philippe,29596
05-03-22,Patek Philippe,29608
06-03-22,Patek Philippe,30163
07-03-22,Patek Philippe,30337
08-03-22,Patek Philippe,30351
09-03-22,Patek Philippe,30351
10-03-22,Patek Philippe,30351
11-03-21,Audemars Piguet,30000
12-03-21,Audemars Piguet,30728.58898
13-03-21,Audemars Piguet,30525.58823
14-03-21,Audemars Piguet,30338.71805
15-03-21,Audemars Piguet,29930.03874
16-03-21,Audemars Piguet,30513.52287
17-03-21,Audemars Piguet,30370.60187
18-03-21,Audemars Piguet,31151.66244
19-03-21,Audemars Piguet,30812.70037
20-03-21,Audemars Piguet,30490.16371
21-03-21,Audemars Piguet,31209.81845
22-03-21,Audemars Piguet,30647.45861
23-03-21,Audemars Piguet,30412.60979
24-03-21,Audemars Piguet,30685.86867
25-03-21,Audemars Piguet,31527.75378
26-03-21,Audemars Piguet,31510.47199
27-03-21,Audemars Piguet,31265.3604
28-03-21,Audemars Piguet,30976.1062
29-03-21,Audemars Piguet,30528.67457
30-03-21,Audemars Piguet,31121.87574
31-03-21,Audemars Piguet,31205.93696
01-04-21,Audemars Piguet,30912.37693
02-04-21,Audemars Piguet,31830.94529
03-04-21,Audemars Piguet,31742.04065
04-04-21,Audemars Piguet,31464.60424
05-04-21,Audemars Piguet,31417.92395
06-04-21,Audemars Piguet,30820.19992
07-04-21,Audemars Piguet,31633.70095
08-04-21,Audemars Piguet,32457.54411
09-04-21,Audemars Piguet,33367.72079
10-04-21,Audemars Piguet,32970.27769
11-04-21,Audemars Piguet,32479.45926
12-04-21,Audemars Piguet,31831.96707
13-04-21,Audemars Piguet,31755.55465
14-04-21,Audemars Piguet,32176.69311
15-04-21,Audemars Piguet,32020.67743
16-04-21,Audemars Piguet,32040.03814
17-04-21,Audemars Piguet,32911.65595
18-04-21,Audemars Piguet,33837.85504
19-04-21,Audemars Piguet,34653.33848
20-04-21,Audemars Piguet,33989.96647
21-04-21,Audemars Piguet,34760.37886
22-04-21,Audemars Piguet,35463.88749
23-04-21,Audemars Piguet,35811.36623
24-04-21,Audemars Piguet,35903.33083
25-04-21,Audemars Piguet,35789.96252
26-04-21,Audemars Piguet,36728.6702
27-04-21,Audemars Piguet,37611.28434
28-04-21,Audemars Piguet,38207.52659
29-04-21,Audemars Piguet,38838.16189
30-04-21,Audemars Piguet,39179.61262
01-05-21,Audemars Piguet,38935.37169
02-05-21,Audemars Piguet,39841.04732
03-05-21,Audemars Piguet,40456.50469
04-05-21,Audemars Piguet,41490.68589
05-05-21,Audemars Piguet,42474.79012
06-05-21,Audemars Piguet,41851.85675
07-05-21,Audemars Piguet,41598.97951
08-05-21,Audemars Piguet,42089.44349
09-05-21,Audemars Piguet,41581.0375
10-05-21,Audemars Piguet,41324.66387
11-05-21,Audemars Piguet,42318.48646
12-05-21,Audemars Piguet,42012.77038
13-05-21,Audemars Piguet,43145.38548
14-05-21,Audemars Piguet,42812.67325
15-05-21,Audemars Piguet,42076.62064
16-05-21,Audemars Piguet,42743.49844
17-05-21,Audemars Piguet,42747.58646
18-05-21,Audemars Piguet,42401.57299
19-05-21,Audemars Piguet,43063.3287
20-05-21,Audemars Piguet,42885.42118
21-05-21,Audemars Piguet,43927.223
22-05-21,Audemars Piguet,43782.19934
23-05-21,Audemars Piguet,43268.89241
24-05-21,Audemars Piguet,44014.1613
25-05-21,Audemars Piguet,43141.47632
26-05-21,Audemars Piguet,43264.60726
27-05-21,Audemars Piguet,44324.36153
28-05-21,Audemars Piguet,45078.40934
29-05-21,Audemars Piguet,45745.04848
30-05-21,Audemars Piguet,46661.73024
31-05-21,Audemars Piguet,47759.47324
01-06-21,Audemars Piguet,49101.83173
02-06-21,Audemars Piguet,49756.37629
03-06-21,Audemars Piguet,49005.76791
04-06-21,Audemars Piguet,49908.23578
05-06-21,Audemars Piguet,50385.46533
06-06-21,Audemars Piguet,51544.72459
07-06-21,Audemars Piguet,52519.06646
08-06-21,Audemars Piguet,51731.12424
09-06-21,Audemars Piguet,50858.31913
10-06-21,Audemars Piguet,51406.22287
11-06-21,Audemars Piguet,51419.83258
12-06-21,Audemars Piguet,51946.87305
13-06-21,Audemars Piguet,51888.02881
14-06-21,Audemars Piguet,53323.51847
15-06-21,Audemars Piguet,54065.12102
16-06-21,Audemars Piguet,54121.13727
17-06-21,Audemars Piguet,54150.15148
18-06-21,Audemars Piguet,54402.64671
19-06-21,Audemars Piguet,55080.69338
20-06-21,Audemars Piguet,55251.21217
21-06-21,Audemars Piguet,55825.36282
22-06-21,Audemars Piguet,55713.56602
23-06-21,Audemars Piguet,54664.92565
24-06-21,Audemars Piguet,54401.54547
25-06-21,Audemars Piguet,54963.36464
26-06-21,Audemars Piguet,56069.70637
27-06-21,Audemars Piguet,57591.07048
28-06-21,Audemars Piguet,57087.82644
29-06-21,Audemars Piguet,58087.04292
30-06-21,Audemars Piguet,58031.73492
01-07-21,Audemars Piguet,57512.59717
02-07-21,Audemars Piguet,59219.60497
03-07-21,Audemars Piguet,59557.33554
04-07-21,Audemars Piguet,61249.65313
05-07-21,Audemars Piguet,61291.4044
06-07-21,Audemars Piguet,61575.41393
07-07-21,Audemars Piguet,63064.00654
08-07-21,Audemars Piguet,62468.20591
09-07-21,Audemars Piguet,62328.77073
10-07-21,Audemars Piguet,61712.91359
11-07-21,Audemars Piguet,62129.37947
12-07-21,Audemars Piguet,62876.62839
13-07-21,Audemars Piguet,63402.92771
14-07-21,Audemars Piguet,64091.17893
15-07-21,Audemars Piguet,63028.01954
16-07-21,Audemars Piguet,63564.77318
17-07-21,Audemars Piguet,63304.6939
18-07-21,Audemars Piguet,62473.85839
19-07-21,Audemars Piguet,63707.2453
20-07-21,Audemars Piguet,63029.12211
21-07-21,Audemars Piguet,62047.35716
22-07-21,Audemars Piguet,62292.23172
23-07-21,Audemars Piguet,61809.01504
24-07-21,Audemars Piguet,63307.18883
25-07-21,Audemars Piguet,62282.18664
26-07-21,Audemars Piguet,62124.81569
27-07-21,Audemars Piguet,63208.96879
28-07-21,Audemars Piguet,63062.69797
29-07-21,Audemars Piguet,62466.59463
30-07-21,Audemars Piguet,61630.37931
31-07-21,Audemars Piguet,62579.98009
01-08-21,Audemars Piguet,63329.50124
02-08-21,Audemars Piguet,62406.64701
03-08-21,Audemars Piguet,63444.82415
04-08-21,Audemars Piguet,64854.68081
05-08-21,Audemars Piguet,65443.96846
06-08-21,Audemars Piguet,65897.20627
07-08-21,Audemars Piguet,67571.84611
08-08-21,Audemars Piguet,69337.59488
09-08-21,Audemars Piguet,68196.0779
10-08-21,Audemars Piguet,68242.50538
11-08-21,Audemars Piguet,67480.53172
12-08-21,Audemars Piguet,67649.20064
13-08-21,Audemars Piguet,67219.80652
14-08-21,Audemars Piguet,66577.88255
15-08-21,Audemars Piguet,65818.25707
16-08-21,Audemars Piguet,66618.09924
17-08-21,Audemars Piguet,67966.16532
18-08-21,Audemars Piguet,66828.5169
19-08-21,Audemars Piguet,66751.24211
20-08-21,Audemars Piguet,66020.44552
21-08-21,Audemars Piguet,67007.07928
22-08-21,Audemars Piguet,68800.23168
23-08-21,Audemars Piguet,68816.03108
24-08-21,Audemars Piguet,68606.94635
25-08-21,Audemars Piguet,68417.26201
26-08-21,Audemars Piguet,68561.25002
27-08-21,Audemars Piguet,69120.26476
28-08-21,Audemars Piguet,69706.55767
29-08-21,Audemars Piguet,69343.92692
30-08-21,Audemars Piguet,68012.35378
31-08-21,Audemars Piguet,69348.18702
01-09-21,Audemars Piguet,70943.68607
02-09-21,Audemars Piguet,72088.93091
03-09-21,Audemars Piguet,73509.77159
04-09-21,Audemars Piguet,72708.17846
05-09-21,Audemars Piguet,71571.44483
06-09-21,Audemars Piguet,73659.93661
07-09-21,Audemars Piguet,72677.07545
08-09-21,Audemars Piguet,73615.37805
09-09-21,Audemars Piguet,74104.95703
10-09-21,Audemars Piguet,74909.91211
11-09-21,Audemars Piguet,76394.40967
12-09-21,Audemars Piguet,78578.83803
13-09-21,Audemars Piguet,78821.12944
14-09-21,Audemars Piguet,77524.47385
15-09-21,Audemars Piguet,76878.01322
16-09-21,Audemars Piguet,78412.70302
17-09-21,Audemars Piguet,79100.47653
18-09-21,Audemars Piguet,80748.81131
19-09-21,Audemars Piguet,82989.9326
20-09-21,Audemars Piguet,84314.20828
21-09-21,Audemars Piguet,84323.79902
22-09-21,Audemars Piguet,82712.18072
23-09-21,Audemars Piguet,81944.68407
24-09-21,Audemars Piguet,82685.91987
25-09-21,Audemars Piguet,84247.74782
26-09-21,Audemars Piguet,83017.50871
27-09-21,Audemars Piguet,82330.74693
28-09-21,Audemars Piguet,83995.66109
29-09-21,Audemars Piguet,85468.66673
30-09-21,Audemars Piguet,85262.74349
01-10-21,Audemars Piguet,83807.0009
02-10-21,Audemars Piguet,84084.52514
03-10-21,Audemars Piguet,83538.04004
04-10-21,Audemars Piguet,83459.33763
05-10-21,Audemars Piguet,85353.51798
06-10-21,Audemars Piguet,85658.04331
07-10-21,Audemars Piguet,85093.84329
08-10-21,Audemars Piguet,87161.2297
09-10-21,Audemars Piguet,87813.22345
10-10-21,Audemars Piguet,87397.00849
11-10-21,Audemars Piguet,86548.85619
12-10-21,Audemars Piguet,87366.39767
13-10-21,Audemars Piguet,87687.29579
14-10-21,Audemars Piguet,88391.43178
15-10-21,Audemars Piguet,90977.28459
16-10-21,Audemars Piguet,89964.79398
17-10-21,Audemars Piguet,88674.53761
18-10-21,Audemars Piguet,87603.26061
19-10-21,Audemars Piguet,89154.56436
20-10-21,Audemars Piguet,91416.2461
21-10-21,Audemars Piguet,91750.58786
22-10-21,Audemars Piguet,92098.28842
23-10-21,Audemars Piguet,90974.94441
24-10-21,Audemars Piguet,91235.78376
25-10-21,Audemars Piguet,90830.94107
26-10-21,Audemars Piguet,92214.23784
27-10-21,Audemars Piguet,92268.38729
28-10-21,Audemars Piguet,92126.89857
29-10-21,Audemars Piguet,93088.5296
30-10-21,Audemars Piguet,95580.04185
31-10-21,Audemars Piguet,94724.27387
01-11-21,Audemars Piguet,95906.78021
02-11-21,Audemars Piguet,96733.46172
03-11-21,Audemars Piguet,95990.79299
04-11-21,Audemars Piguet,95004.54967
05-11-21,Audemars Piguet,96476.90982
06-11-21,Audemars Piguet,97451.46381
07-11-21,Audemars Piguet,95521.73529
08-11-21,Audemars Piguet,97606.88469
09-11-21,Audemars Piguet,98476.05344
10-11-21,Audemars Piguet,97460.67332
11-11-21,Audemars Piguet,95655.26075
12-11-21,Audemars Piguet,95112.35474
13-11-21,Audemars Piguet,95758.93762
14-11-21,Audemars Piguet,98171.58746
15-11-21,Audemars Piguet,98504.44693
16-11-21,Audemars Piguet,97645.8713
17-11-21,Audemars Piguet,99783.05757
18-11-21,Audemars Piguet,98741.02203
19-11-21,Audemars Piguet,101462.5398
20-11-21,Audemars Piguet,100068.8424
21-11-21,Audemars Piguet,102883.585
22-11-21,Audemars Piguet,102694.3182
23-11-21,Audemars Piguet,104528.4584
24-11-21,Audemars Piguet,107037.2281
25-11-21,Audemars Piguet,106309.3492
26-11-21,Audemars Piguet,107514.671
27-11-21,Audemars Piguet,110328.2509
28-11-21,Audemars Piguet,108598.9438
29-11-21,Audemars Piguet,109916.7418
30-11-21,Audemars Piguet,109773.1362
01-12-21,Audemars Piguet,111252.3251
02-12-21,Audemars Piguet,109567.4452
03-12-21,Audemars Piguet,109536.8049
04-12-21,Audemars Piguet,111059.5973
05-12-21,Audemars Piguet,112110.2682
06-12-21,Audemars Piguet,111618.3798
07-12-21,Audemars Piguet,114388.7679
08-12-21,Audemars Piguet,113576.191
09-12-21,Audemars Piguet,114070.654
10-12-21,Audemars Piguet,112607.8914
11-12-21,Audemars Piguet,114566.2478
12-12-21,Audemars Piguet,116797.9863
13-12-21,Audemars Piguet,119208.3547
14-12-21,Audemars Piguet,117251.7623
15-12-21,Audemars Piguet,117275.8018
16-12-21,Audemars Piguet,120219.0777
17-12-21,Audemars Piguet,117896.7402
18-12-21,Audemars Piguet,120333.8497
19-12-21,Audemars Piguet,120350.79
20-12-21,Audemars Piguet,121942.0761
21-12-21,Audemars Piguet,124997.9608
22-12-21,Audemars Piguet,122965.7369
23-12-21,Audemars Piguet,122664.5239
24-12-21,Audemars Piguet,120851.4135
25-12-21,Audemars Piguet,120270.0138
26-12-21,Audemars Piguet,119332.2106
27-12-21,Audemars Piguet,122464.8723
28-12-21,Audemars Piguet,120719.8692
29-12-21,Audemars Piguet,120459.6893
30-12-21,Audemars Piguet,122337.3818
31-12-21,Audemars Piguet,122756.0039
01-01-22,Audemars Piguet,122655.2574
02-01-22,Audemars Piguet,126095.1991
03-01-22,Audemars Piguet,127338.8419
04-01-22,Audemars Piguet,126807.528
05-01-22,Audemars Piguet,127854.1433
06-01-22,Audemars Piguet,128610.2597
07-01-22,Audemars Piguet,126853.1869
08-01-22,Audemars Piguet,127707.6954
09-01-22,Audemars Piguet,130216.1878
10-01-22,Audemars Piguet,127624.2564
11-01-22,Audemars Piguet,131264.8127
12-01-22,Audemars Piguet,133481.2168
13-01-22,Audemars Piguet,134266.4403
14-01-22,Audemars Piguet,135014.8548
15-01-22,Audemars Piguet,132930.7674
16-01-22,Audemars Piguet,131702.0421
17-01-22,Audemars Piguet,131517.5926
18-01-22,Audemars Piguet,132173.7682
19-01-22,Audemars Piguet,133458.7722
20-01-22,Audemars Piguet,136774.4952
21-01-22,Audemars Piguet,139735.0123
22-01-22,Audemars Piguet,137657.9847
23-01-22,Audemars Piguet,136991.1657
24-01-22,Audemars Piguet,137902.3049
25-01-22,Audemars Piguet,140441.7174
26-01-22,Audemars Piguet,143743.5586
27-01-22,Audemars Piguet,146624.8164
28-01-22,Audemars Piguet,150474.8422
29-01-22,Audemars Piguet,153592.7712
30-01-22,Audemars Piguet,154627.1113
31-01-22,Audemars Piguet,154264.2909
01-02-22,Audemars Piguet,152057.0987
02-02-22,Audemars Piguet,154690.2195
03-02-22,Audemars Piguet,153201.8212
04-02-22,Audemars Piguet,150333.3016
05-02-22,Audemars Piguet,150295.6582
06-02-22,Audemars Piguet,150977.3901
07-02-22,Audemars Piguet,152101.1751
08-02-22,Audemars Piguet,151414.4711
09-02-22,Audemars Piguet,153256.6448
10-02-22,Audemars Piguet,155633.7219
11-02-22,Audemars Piguet,159928.4064
12-02-22,Audemars Piguet,162856.8983
13-02-22,Audemars Piguet,163025.3966
14-02-22,Audemars Piguet,161594.0842
15-02-22,Audemars Piguet,161143.8442
16-02-22,Audemars Piguet,157951.8008
17-02-22,Audemars Piguet,162287.2345
18-02-22,Audemars Piguet,159432.0437
19-02-22,Audemars Piguet,158474.3252
20-02-22,Audemars Piguet,157246.4441
21-02-22,Audemars Piguet,154850.2949
22-02-22,Audemars Piguet,156617.7217
23-02-22,Audemars Piguet,158238.8629
24-02-22,Audemars Piguet,157966.5953
25-02-22,Audemars Piguet,157737.9747
26-02-22,Audemars Piguet,157258.8763
27-02-22,Audemars Piguet,155486.8087
28-02-22,Audemars Piguet,159536.6863
01-03-22,Audemars Piguet,159884.1213
02-03-22,Audemars Piguet,162286.8541
03-03-22,Audemars Piguet,166102.8598
04-03-22,Audemars Piguet,170283.4342
05-03-22,Audemars Piguet,175058.8422
06-03-22,Audemars Piguet,175079.7404
07-03-22,Audemars Piguet,175755.557
08-03-22,Audemars Piguet,175307.5162
09-03-22,Audemars Piguet,175529.6822
10-03-22,Audemars Piguet,174094.5061
