Date,Rolex 116610LV,Rolex
29-06-21,21009.00,12498.00
30-06-21,20989.00,12490.00
01-07-21,20950.00,12488.00
02-07-21,20910.00,12480.00
03-07-21,20947.00,12514.00
04-07-21,20949.00,12501.00
05-07-21,20963.00,12493.00
06-07-21,20955.00,12487.00
07-07-21,20957.00,12494.00
08-07-21,20948.00,12516.00
09-07-21,20953.00,12525.00
10-07-21,20935.00,12535.00
11-07-21,20989.00,12532.00
12-07-21,20827.00,12547.00
13-07-21,20885.00,12560.00
14-07-21,20837.00,12545.00
15-07-21,20827.00,12543.00
16-07-21,20791.00,12547.00
17-07-21,20821.00,12508.00
18-07-21,20811.00,12500.00
19-07-21,20830.00,12523.00
20-07-21,20837.00,12539.00
21-07-21,20791.00,12522.00
22-07-21,20787.00,12521.00
23-07-21,20806.00,12507.00
24-07-21,20818.00,12528.00
25-07-21,20809.00,12515.00
26-07-21,20819.00,12519.00
27-07-21,20841.00,12507.00
28-07-21,20820.00,12517.00
29-07-21,20840.00,12505.00
30-07-21,20840.00,12529.00
31-07-21,20870.00,12531.00
01-08-21,20898.00,12537.00
02-08-21,20872.00,12509.00
03-08-21,20929.00,12517.00
04-08-21,20927.00,12541.00
05-08-21,20941.00,12547.00
06-08-21,20912.00,12541.00
07-08-21,20960.00,12567.00
08-08-21,20892.00,12554.00
09-08-21,20980.00,12547.00
10-08-21,20902.00,12546.00
11-08-21,20887.00,12556.00
12-08-21,20758.00,12536.00
13-08-21,20823.00,12551.00
14-08-21,20864.00,12557.00
15-08-21,20900.00,12564.00
16-08-21,20909.00,12576.00
17-08-21,20967.00,12608.00
18-08-21,20956.00,12632.00
19-08-21,20908.00,12643.00
20-08-21,20933.00,12662.00
21-08-21,20934.00,12663.00
22-08-21,20899.00,12690.00
23-08-21,20921.00,12692.00
24-08-21,20957.00,12677.00
25-08-21,20952.00,12683.00
26-08-21,20937.00,12706.00
27-08-21,20990.00,12696.00
28-08-21,20984.00,12696.00
29-08-21,20992.00,12691.00
30-08-21,20985.00,12693.00
31-08-21,20992.00,12689.00
01-09-21,21121.00,12691.00
02-09-21,20985.00,12699.00
03-09-21,20859.00,12674.00
04-09-21,20859.00,12654.00
05-09-21,20921.00,12664.00
06-09-21,21011.00,12653.00
07-09-21,20945.00,12674.00
08-09-21,20832.00,12731.00
09-09-21,20763.00,12730.00
10-09-21,20752.00,12843.00
11-09-21,20961.00,12878.00
12-09-21,20961.00,12885.00
13-09-21,20955.00,12937.00
14-09-21,20929.00,12951.00
15-09-21,20938.00,12965.00
16-09-21,20876.00,12968.00
17-09-21,20872.00,12974.00
18-09-21,20859.00,12961.00
19-09-21,20906.00,12954.00
20-09-21,20892.00,12967.00
21-09-21,20901.00,12951.00
22-09-21,20970.00,12965.00
23-09-21,20813.00,12977.00
24-09-21,20725.00,12982.00
25-09-21,20727.00,12952.00
26-09-21,20759.00,12952.00
27-09-21,20737.00,12973.00
28-09-21,20746.00,13005.00
29-09-21,21142.00,13009.00
30-09-21,21142.00,13045.00
01-10-21,21181.00,13056.00
02-10-21,21191.00,13083.00
03-10-21,21181.00,13084.00
04-10-21,21243.00,13093.00
05-10-21,21318.00,13122.00
06-10-21,21303.00,13114.00
07-10-21,21307.00,13100.00
08-10-21,21290.00,13102.00
09-10-21,21301.00,13078.00
10-10-21,21298.00,13069.00
11-10-21,21348.00,12966.00
12-10-21,21381.00,12965.00
13-10-21,21374.00,12964.00
14-10-21,21377.00,12929.00
15-10-21,21424.00,12942.00
16-10-21,21457.00,12929.00
17-10-21,21512.00,12914.00
18-10-21,21546.00,12902.00
19-10-21,21583.00,12885.00
20-10-21,21560.00,12880.00
21-10-21,21605.00,12870.00
22-10-21,21635.00,12921.00
23-10-21,21636.00,12904.00
24-10-21,21741.00,12942.00
25-10-21,21676.00,12943.00
26-10-21,21695.00,12967.00
27-10-21,21767.00,12983.00
28-10-21,21775.00,12969.00
29-10-21,21785.00,12990.00
30-10-21,21746.00,12986.00
31-10-21,21780.00,12997.00
01-11-21,21774.00,12990.00
02-11-21,21838.00,13007.00
03-11-21,21891.00,13030.00
04-11-21,21882.00,13044.00
05-11-21,21976.00,13061.00
06-11-21,21948.00,13068.00
07-11-21,22004.00,13068.00
08-11-21,22011.00,13071.00
09-11-21,22051.00,13074.00
10-11-21,22109.00,13086.00
11-11-21,22109.00,13109.00
12-11-21,22119.00,13108.00
13-11-21,22109.00,13118.00
14-11-21,22168.00,13314.00
15-11-21,22168.00,13338.00
16-11-21,22175.00,13346.00
17-11-21,22137.00,13383.00
18-11-21,22259.00,13397.00
19-11-21,22259.00,13424.00
20-11-21,22269.00,13444.00
21-11-21,22233.00,13479.00
22-11-21,22325.00,13468.00
23-11-21,22392.00,13509.00
24-11-21,22419.00,13485.00
25-11-21,22437.00,13473.00
26-11-21,22453.00,13461.00
27-11-21,22557.00,13435.00
28-11-21,22623.00,13435.00
29-11-21,22597.00,13440.00
30-11-21,22674.00,13434.00
01-12-21,22717.00,13428.00
02-12-21,22773.00,13458.00
03-12-21,22774.00,13468.00
04-12-21,22836.00,13468.00
05-12-21,22804.00,13473.00
06-12-21,22795.00,13460.00
07-12-21,22866.00,13460.00
08-12-21,22809.00,13466.00
09-12-21,22840.00,13445.00
10-12-21,22879.00,13456.00
11-12-21,22921.00,13451.00
12-12-21,22920.00,13448.00
13-12-21,22977.00,13449.00
14-12-21,22991.00,13468.00
15-12-21,23025.00,13353.00
16-12-21,23094.00,13342.00
17-12-21,23089.00,13345.00
18-12-21,23163.00,13345.00
19-12-21,23292.00,13367.00
20-12-21,23361.00,13376.00
21-12-21,23431.00,13368.00
22-12-21,23431.00,13400.00
23-12-21,23459.00,13430.00
24-12-21,23472.00,13439.00
25-12-21,23520.00,13444.00
26-12-21,23598.00,13469.00
27-12-21,23643.00,13479.00
28-12-21,23609.00,13502.00
29-12-21,23617.00,13522.00
30-12-21,23694.00,13535.00
31-12-21,23701.00,13560.00
01-01-22,23748.00,13581.00
02-01-22,23748.00,13576.00
03-01-22,23789.00,13584.00
04-01-22,23872.00,13584.00
05-01-22,23903.00,13594.00
06-01-22,23965.00,13632.00
07-01-22,24036.00,13644.00
08-01-22,24058.00,13641.00
09-01-22,24191.00,13663.00
10-01-22,24332.00,13670.00
11-01-22,24340.00,13685.00
12-01-22,24417.00,13694.00
13-01-22,24490.00,13696.00
14-01-22,24569.00,13713.00
15-01-22,24660.00,13712.00
16-01-22,24893.00,13712.00
17-01-22,24935.00,13729.00
18-01-22,25010.00,13737.00
19-01-22,25057.00,13745.00
20-01-22,25117.00,13755.00
21-01-22,25219.00,13763.00
22-01-22,25304.00,13763.00
23-01-22,25445.00,13778.00
24-01-22,25445.00,13925.00
25-01-22,25445.00,13969.00
26-01-22,25445.00,13983.00
27-01-22,25553.00,13980.00
28-01-22,25873.00,13986.00
29-01-22,26051.00,13996.00
30-01-22,26051.00,13957.00
31-01-22,26127.00,14012.00
01-02-22,26127.00,14017.00
02-02-22,26241.00,14010.00
03-02-22,26259.00,14017.00
04-02-22,26491.00,14034.00
05-02-22,26559.00,14052.00
06-02-22,26669.00,14052.00
07-02-22,26770.00,14063.00
08-02-22,26927.00,14063.00
09-02-22,26927.00,14063.00
10-02-22,27122.00,14065.00
11-02-22,27182.00,14077.00
12-02-22,27238.00,14172.00
13-02-22,27238.00,14172.00
14-02-22,27325.00,14172.00
15-02-22,27360.00,14197.00
16-02-22,27832.00,14219.00
17-02-22,27832.00,14243.00
18-02-22,27832.00,14270.00
19-02-22,28083.00,14306.00
20-02-22,28213.00,14324.00
21-02-22,28368.00,14327.00
22-02-22,28483.00,14339.00
23-02-22,28633.00,14391.00
24-02-22,28802.00,14391.00
25-02-22,29006.00,14411.00
26-02-22,29143.00,14404.00
27-02-22,29203.00,14435.00
28-02-22,29203.00,14449.00
01-03-22,29283.00,14424.00
02-03-22,29349.00,14423.00
03-03-22,29460.00,14433.00
04-03-22,29596.00,14436.00
05-03-22,29608.00,14436.00
06-03-22,30163.00,14445.00
07-03-22,30337.00,14479.00
08-03-22,30351.00,14548.00
09-03-22,30351.00,14605.00
10-03-22,30351.00,14605.00
